#FILE	NUM_FOUND	blaOCH-5_1	fosX_2
amr/SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	2	100.00	99.75
amr/SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	0	.	.
amr/SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	91.29;99.75
amr/SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
amr/SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_resfinder.tsv	1	.	99.75
